timestamp,X,Y,Z
1649357633524,-0.107976,1.399502,9.388838
1649357633543,0.061914,1.138685,9.255737
1649357633562,0.033200,1.161416,8.976974
1649357633581,0.000897,1.374377,8.301898
1649357633600,0.009272,1.800599,7.412366
1649357633619,0.063111,2.180161,6.806683
1649357633638,0.055932,2.327319,6.586544
1649357633657,-0.007478,2.479263,6.830611
1649357633676,-0.079262,2.810968,7.392027
1649357633695,-0.291326,2.894717,8.370093
1649357633714,-0.482752,2.833700,9.801600
1649357633733,-0.601197,2.720041,10.028021
1649357633752,-0.803390,2.351247,9.888041
1649357633771,-0.753141,1.877169,10.859825
1649357633790,-0.653839,1.819742,12.417254
1649357633809,-0.491127,2.181357,13.383356
1649357633828,-0.486341,3.143571,12.396915
1649357633847,-0.626321,3.228516,9.759726
1649357633866,-0.327219,2.535495,8.474181
1649357633885,-0.394218,1.978864,9.754940
1649357633904,-0.538983,1.769492,11.705091
1649357633923,-0.521037,1.935794,12.383755
1649357633942,-0.387039,1.928615,11.160424
1649357633961,-0.503091,1.859223,9.192327
1649357633980,-0.656232,1.559821,8.342576
1649357633999,-0.784248,1.394717,8.814261
1649357634018,-0.804587,1.416252,9.142078
1649357634037,-0.888635,1.613959,8.682357
1649357634056,-0.880260,1.816152,7.648358
1649357634075,-0.858724,1.891526,6.702595
1649357634094,-0.861117,2.121237,6.336195
1649357634113,-0.811765,2.290230,6.370890
1649357634132,-0.773480,2.598905,6.582954
1649357634151,-0.517448,2.686243,7.132406
1649357634170,-0.157029,2.630011,7.581060
1649357634189,-0.040977,2.632404,8.280363
1649357634208,0.076271,2.614458,9.356535
1649357634227,0.078664,2.426621,10.585847
1649357634246,-0.099601,1.791028,11.487044
1649357634265,-0.471984,1.578964,12.158829
1649357634284,-0.310469,2.116452,12.378969
1649357634303,0.385244,3.226123,11.989836
1649357634322,0.473779,3.405884,10.050753
1649357634341,-0.052941,2.614458,8.156834
1649357634360,-0.583251,1.799403,9.069097
1649357634379,-0.981955,1.161416,12.466307
1649357634398,-0.373879,0.979263,15.034104
1649357634417,-0.335593,1.324128,14.646169
1649357634436,-0.176172,1.647458,11.522937
1649357634455,-0.486341,2.297409,8.697910
1649357634474,-0.516252,2.261517,7.449455
1649357634493,-0.353540,2.020739,7.711768
1649357634512,-0.457627,1.510768,8.557930
1649357634531,-0.620339,1.345664,9.059525
1649357634550,-0.608375,1.494019,9.097811
1649357634569,-0.451645,1.773082,8.488539
1649357634588,-0.275474,2.087738,7.465008
1649357634607,-0.306879,2.321337,6.348158
1649357634626,-0.165404,2.535495,5.947361
1649357634645,-0.055334,2.764308,6.732506
1649357634664,-0.129512,2.855236,8.118548
1649357634683,-0.586840,2.909074,8.984152
1649357634702,-0.936491,3.137589,9.416355
1649357634721,-0.832104,2.733202,9.805189
1649357634740,-0.455234,2.220839,10.373783
1649357634759,-0.107976,2.204089,11.087442
1649357634778,-0.264706,2.323730,11.620145
1649357634797,-0.396610,3.472883,11.362617
1649357634816,-0.000299,3.427419,9.436694
1649357634835,0.364905,2.275873,8.390432
1649357634854,-0.167797,1.403091,10.419247
1649357634873,-0.655035,0.960120,13.491034
1649357634892,-0.657428,1.246361,14.940784
1649357634911,-0.558126,1.435395,13.708780
1649357634930,-0.422931,1.812563,10.892129
1649357634949,-0.646660,1.996811,8.599805
1649357634968,-0.902991,1.980061,7.955836
1649357634987,-1.063311,1.743171,8.196614
1649357635006,-1.196112,1.505983,8.543573
1649357635025,-1.053739,1.435395,8.453842
1649357635044,-0.790230,1.646262,7.901998
1649357635063,-0.456431,1.843670,7.250851
1649357635082,-0.214457,2.029114,6.641578
1649357635101,-0.063709,2.118845,6.211768
1649357635120,-0.012263,2.302195,6.226124
1649357635139,-0.087637,2.449353,6.756434
1649357635158,-0.329611,2.360819,8.047960
1649357635177,-0.264706,2.136791,9.290433
1649357635196,-0.164207,1.832902,10.031610
1649357635215,-0.116351,1.529911,10.534402
1649357635234,-0.094816,1.363610,11.341082
1649357635253,-0.191725,1.707279,11.958730
1649357635272,0.133699,2.620440,11.038390
1649357635291,0.495314,2.802593,8.823833
1649357635310,0.570688,1.904687,8.267202
1649357635329,-0.092423,0.274277,10.861022
1649357635348,-0.177368,-0.263211,14.832808
1649357635367,0.101396,0.663410,16.957636
1649357635386,0.164806,1.112363,14.533706
1649357635405,0.120538,1.926222,10.307981
1649357635424,-0.027817,2.317748,7.512865
1649357635443,-0.080459,1.951347,7.194620
1649357635462,0.091825,1.355235,8.532805
1649357635481,0.182752,1.093221,10.096216
1649357635500,-0.056530,1.038186,10.506885
1649357635519,-0.064905,1.294218,9.277272
1649357635538,0.192323,1.517947,7.485347
1649357635557,0.119342,1.932204,6.326623
1649357635576,0.015254,2.442175,6.105287
1649357635595,-0.054138,2.610869,6.565008
1649357635614,0.229412,2.388336,7.352546
1649357635633,0.189930,2.112862,8.789137
1649357635652,-0.544965,2.216053,10.400105
1649357635671,-0.919741,2.231606,11.269298
1649357635690,-0.558126,1.975275,11.173584
1649357635709,-0.220439,1.553839,11.459527
1649357635728,-0.542573,1.496411,12.428021
1649357635747,-0.678963,2.140380,12.261721
1649357635766,-0.744766,2.755934,10.026824
1649357635785,-0.373879,2.363211,8.111370
1649357635804,-0.333201,1.641476,8.294720
1649357635823,-0.919741,0.994816,10.366605
1649357635842,-0.669392,0.926621,12.723834
1649357635861,-0.327219,1.144667,13.217953
1649357635880,0.017647,1.257129,11.449955
1649357635899,-0.171386,1.211666,9.750154
1649357635918,-0.276670,0.999602,8.986545
1649357635937,-0.178564,0.732802,8.892028
1649357635956,-0.173779,0.930210,8.884850
1649357635975,-0.314058,1.210469,8.478967
1649357635994,-0.511466,1.678565,7.657930
1649357636013,-0.549751,1.867598,6.996912
1649357636032,-0.611964,2.100898,6.731309
1649357636051,-0.623928,2.324926,6.931110
1649357636070,-0.613161,2.537888,7.202994
1649357636089,-0.751945,2.409872,7.534400
1649357636108,-0.832104,2.174178,8.457432
1649357636127,-0.610768,2.115255,9.513265
1649357636146,-0.133101,2.069792,9.783653
1649357636165,-0.009870,1.583750,9.653245
1649357636184,-0.230010,1.125524,10.348659
1649357636203,-0.580858,1.215255,11.811571
1649357636222,-0.674178,1.431805,12.584751
1649357636241,0.063111,2.272284,12.345469
1649357636260,0.837787,2.546263,10.281660
1649357636279,0.983749,1.547857,8.203793
1649357636298,0.525225,1.035793,8.777172
1649357636317,-0.002692,0.466900,11.629716
1649357636336,-0.107976,0.552144,14.436796
1649357636355,0.229412,0.442971,14.302499
1649357636374,0.018843,1.068096,11.991033
1649357636393,-0.251545,1.534697,9.460623
1649357636412,-0.282652,1.606780,8.070692
1649357636431,-0.231206,1.468894,7.826624
1649357636450,-0.025424,1.162613,8.135298
1649357636469,0.042772,1.019941,8.597412
1649357636488,-0.131904,1.163809,8.589037
1649357636507,-0.164207,1.309771,7.991728
1649357636526,0.065504,1.578964,6.929914
1649357636545,0.215055,1.899901,6.289534
1649357636564,0.066700,2.178964,6.446264
1649357636583,-0.416949,2.424228,7.494919
1649357636602,-0.678963,2.443371,8.926724
1649357636621,-0.833300,2.469692,9.845867
1649357636640,-0.832104,2.286641,10.036395
1649357636659,-0.683749,1.746760,10.329516
1649357636678,-0.534198,1.449751,11.175978
1649357636697,-0.674178,1.616352,12.128919
1649357636716,-0.832104,2.278266,12.212667
1649357636735,-0.718445,3.433401,10.859825
1649357636754,-0.241974,2.042274,8.572288
1649357636773,0.237787,1.141077,8.256434
1649357636792,-0.349950,0.210867,10.410872
1649357636811,-0.748355,0.416650,13.222738
1649357636830,-0.698106,0.765105,14.180465
1649357636849,-0.219242,0.939781,12.731013
1649357636868,-0.152243,1.605584,10.309177
1649357636887,-0.363111,1.738386,8.881260
1649357636906,-0.584447,1.635494,8.872886
1649357636925,-0.634696,1.479662,9.170792
1649357636944,-0.622732,1.325325,9.012866
1649357636963,-0.637089,1.288236,8.458628
1649357636982,-0.590429,1.336092,7.806285
1649357637001,-0.300897,1.455733,7.167102
1649357637020,-0.153440,1.777867,6.539884
1649357637039,-0.096012,2.053042,6.150751
1649357637058,-0.007478,2.183750,6.351748
1649357637077,0.005683,2.262713,7.540382
1649357637096,-0.176172,2.220839,8.967402
1649357637115,-0.283849,2.032703,9.669994
1649357637134,-0.110369,1.684547,10.110573
1649357637153,0.052343,1.214058,10.986645
1649357637172,-0.066102,1.063311,12.233006
1649357637191,-0.207278,1.316950,13.164114
1649357637210,0.097807,1.992025,13.257733
1649357637229,0.731007,2.664707,11.463116
1649357637248,0.806381,1.959722,8.903992
1649357637267,0.564706,1.415056,8.240881
1649357637286,0.255733,0.676571,10.296017
1649357637305,0.354138,0.411865,12.977473
1649357637324,0.386441,0.375972,13.967504
1649357637343,0.173181,0.835693,12.469896
1649357637362,0.027218,1.471287,10.010075
1649357637381,-0.091226,1.740778,8.092227
1649357637400,-0.218046,1.416252,7.204191
1649357637419,-0.088834,0.937388,7.386045
1649357637438,0.151645,0.453739,8.530413
1649357637457,-0.013460,0.639482,9.561121
1649357637476,-0.189332,1.003191,9.439087
1649357637495,-0.177368,1.446162,8.368897
1649357637514,0.040379,1.869991,7.254440
1649357637533,0.306281,2.244767,6.652346
1649357637552,0.177966,2.458924,7.049555
1649357637571,-0.213260,2.382354,8.300702
1649357637590,-0.466002,2.170589,9.725029
1649357637609,-0.841675,2.316551,10.712667
1649357637628,-0.906581,2.087738,11.404491
1649357637647,-0.617946,1.801795,12.107084
1649357637666,-0.379861,1.701297,12.174382
1649357637685,-0.286241,1.470090,11.778071
1649357637704,-0.486341,2.135594,11.858231
1649357637723,-0.784248,3.234498,10.893325
1649357637742,-0.548555,2.856432,8.658429
1649357637761,0.240180,2.044667,7.776374
1649357637780,-0.228814,1.351646,9.539586
1649357637799,-0.934098,1.417448,11.833106
1649357637818,-0.940080,1.666601,12.407682
1649357637837,-0.476770,1.813760,10.856236
1649357637856,-0.432503,1.911865,9.066704
1649357637875,-0.607179,1.801795,8.354540
1649357637894,-0.792623,1.603191,8.373683
1649357637913,-0.827318,1.363610,8.422736
1649357637932,-0.699302,1.289432,8.401200
1649357637951,-0.656232,1.328914,8.243274
1649357637970,-0.668196,1.441377,7.849356
1649357637989,-0.561715,1.797010,7.073782
1649357638008,-0.357129,2.127219,6.381658
1649357638027,-0.261117,2.376372,6.368497
1649357638046,-0.361914,2.580958,7.353742
1649357638065,-0.440878,2.558227,8.780762
1649357638084,-0.106780,2.645565,9.844670
1649357638103,0.434297,2.316551,10.402497
1649357638122,0.381655,1.825724,11.087442
1649357638141,-0.134297,1.509572,12.255738
1649357638160,-0.257528,1.647458,12.615858
1649357638179,0.053539,2.158625,12.066406
1649357638198,0.571885,3.162713,11.022837
1649357638217,0.629312,2.898306,8.670393
1649357638236,0.154038,2.329712,7.705786
1649357638255,-0.062512,1.352842,10.196714
1649357638274,-0.013460,1.147059,13.504193
1649357638293,0.100199,1.139881,14.439189
1649357638312,0.061914,1.218844,12.569199
1649357638331,0.055932,1.478465,9.934701
1649357638350,0.107378,1.649851,8.388040
1649357638369,0.333799,1.540679,8.071888
1649357638388,0.297906,1.175773,8.504091
1649357638407,0.037986,1.077667,9.066704
1649357638426,-0.131904,1.120738,9.206684
1649357638445,-0.148654,1.246361,8.892028
1649357638464,-0.124726,1.395913,7.922337
1649357638483,0.079860,1.725225,6.885646
1649357638502,0.321835,2.211267,6.357730
1649357638521,0.275175,2.373979,6.562615
1649357638540,0.119342,2.268695,7.502097
1649357638559,-0.042173,2.169393,8.941081
1649357638578,-0.422931,2.205285,10.230214
1649357638597,-0.811765,2.062613,11.202298
1649357638616,-1.063311,1.588535,11.781660
1649357638635,-0.901795,1.407877,11.902498
1649357638654,-0.694517,1.655833,11.780464
1649357638673,-0.899402,2.560619,11.713465
1649357638692,-1.080060,3.081357,10.422836
1649357638711,-0.629911,2.346462,8.555537
1649357638730,-0.408574,1.537089,8.231310
1649357638749,-0.548555,0.811765,10.071092
1649357638768,-0.907777,1.334896,12.471092
1649357638787,-1.436890,1.677369,13.377374
1649357638806,-0.728016,1.658226,11.382957
1649357638825,-0.763909,2.043471,9.095418
1649357638844,-0.835693,1.941776,7.978568
1649357638863,-0.989133,1.702493,8.263613
1649357638882,-1.115953,1.446162,8.734999
1649357638901,-1.070489,1.233201,8.968598
1649357638920,-0.875474,1.306182,8.727820
